Customer_ID,first_purchase,last_purchase,transaction_lines,total_orders,total_sales,total_quantity,total_profit,recency_days,customer_lifetime_days,avg_order_value,avg_items_per_order,profit_margin,Segment,Region,value_tier,frequency_tier,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Customer_Segment
AH-10210,2015-11-10,2017-09-02,7,4,2634.39,25,1091.63,100,662,658.5975,6.25,41.44,Consumer,West,Platinum,Frequent,4.0,4,5,4.045,13.0,Champions
AH-10465,2015-01-03,2017-04-02,5,3,1843.88,22,-346.99,253,820,614.6266666666667,7.333333333333333,-18.82,Consumer,Central,Platinum,Regular,3.0,3,4,3.034,10.0,Potential Loyalists
AH-10585,2017-07-06,2017-12-09,2,2,255.22,3,28.92,2,156,127.61,1.5,11.33,Consumer,Central,Silver,Occasional,5.0,2,2,5.022,9.0,New Customers
AH-10690,2014-04-02,2016-10-04,15,6,2124.31,52,148.45,433,916,354.0516666666667,8.666666666666666,6.99,Corporate,East,Platinum,Frequent,2.0,5,5,2.055,12.0,At Risk Champions
AI-10855,2014-05-10,2017-12-11,12,5,1745.6,45,563.51,0,1311,349.12,9.0,32.28,Consumer,East,Platinum,Frequent,5.0,5,4,5.054,14.0,Champions
AJ-10780,2014-01-10,2014-01-10,2,1,54.83,2,22.65,1431,0,54.83,2.0,41.31,Corporate,South,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
AJ-10795,2016-01-05,2016-09-12,7,2,1414.96,25,361.15,455,251,707.48,12.5,25.52,Corporate,South,Gold,Occasional,2.0,2,4,2.024,8.0,Other
AJ-10945,2014-03-03,2017-10-06,6,3,803.27,23,295.95,66,1313,267.75666666666666,7.666666666666667,36.84,Consumer,South,Gold,Regular,4.0,3,3,4.033,10.0,Loyal Customers
AM-10360,2014-10-06,2017-12-02,6,2,194.25,21,66.02,9,1153,97.125,10.5,33.99,Corporate,West,Bronze,Occasional,5.0,2,2,5.022,9.0,New Customers
AM-10705,2017-04-04,2017-04-04,1,1,383.84,4,47.98,251,0,383.84,4.0,12.5,Consumer,Central,Silver,Occasional,3.0,1,2,3.012,6.0,Promising
AP-10720,2014-03-03,2016-12-06,12,3,1368.07,57,303.34,370,1009,456.0233333333333,19.0,22.17,Home Office,East,Gold,Regular,2.0,3,4,2.034,9.0,At Risk
AP-10915,2014-11-11,2017-09-03,13,4,1494.01,42,362.91,99,1027,373.5025,10.5,24.29,Consumer,South,Gold,Frequent,4.0,4,4,4.044,12.0,Champions
AR-10345,2015-09-10,2017-09-10,3,3,279.97,9,21.39,92,731,93.32333333333334,3.0,7.64,Corporate,East,Silver,Regular,4.0,3,2,4.032,9.0,Other
AR-10405,2014-10-03,2014-10-03,2,1,265.78,4,17.35,1165,0,265.78,4.0,6.53,Corporate,West,Silver,Occasional,1.0,1,2,1.012,4.0,Hibernating
AR-10510,2014-05-02,2014-05-02,1,1,26.14,3,1.96,1319,0,26.14,3.0,7.5,Consumer,East,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
AR-10540,2015-04-11,2015-04-11,2,1,692.73,6,240.26,975,0,692.73,6.0,34.68,Consumer,West,Gold,Occasional,1.0,1,3,1.013,5.0,Lost
AR-10825,2015-03-08,2017-11-02,6,4,1385.01,23,-36.89,39,970,346.2525,5.75,-2.66,Corporate,West,Gold,Frequent,4.0,4,4,4.044,12.0,Champions
AS-10045,2017-01-02,2017-10-03,7,4,2475.85,33,-377.95,69,274,618.9625,8.25,-15.27,Corporate,South,Platinum,Frequent,4.0,4,5,4.045,13.0,Champions
AS-10090,2015-11-09,2017-12-02,12,5,1286.97,43,284.82,9,754,257.394,8.6,22.13,Consumer,South,Gold,Frequent,5.0,5,4,5.054,14.0,Champions
AS-10225,2015-05-04,2017-12-08,3,3,261.88,6,27.5,3,949,87.29333333333334,2.0,10.5,Corporate,East,Silver,Regular,5.0,3,2,5.032,10.0,Other
AS-10240,2014-10-11,2016-04-07,3,2,77.91,7,9.93,613,544,38.955,3.5,12.75,Consumer,West,Bronze,Occasional,2.0,2,1,2.021,5.0,Hibernating
AS-10285,2016-11-04,2017-12-11,4,4,3029.12,18,284.05,0,402,757.28,4.5,9.38,Corporate,West,Platinum,Frequent,5.0,4,5,5.045,14.0,Champions
AS-10630,2014-08-01,2015-09-03,4,3,410.98,13,61.14,830,398,136.99333333333334,4.333333333333333,14.88,Home Office,East,Silver,Regular,1.0,3,2,1.032,6.0,At Risk
AT-10435,2015-09-06,2017-12-09,5,3,1111.05,17,93.6,2,825,370.34999999999997,5.666666666666667,8.42,Home Office,West,Gold,Regular,5.0,3,4,5.034,12.0,Loyal Customers
AT-10735,2014-11-03,2017-08-01,5,4,304.63,20,74.53,132,1002,76.1575,5.0,24.47,Consumer,Central,Silver,Frequent,3.0,4,2,3.042,9.0,Other
AW-10840,2017-09-02,2017-12-10,5,2,606.23,16,79.27,1,99,303.115,8.0,13.08,Consumer,East,Silver,Occasional,5.0,2,3,5.023,10.0,New Customers
AW-10930,2016-06-12,2016-10-07,8,2,551.54,32,-269.34,430,117,275.77,16.0,-48.83,Home Office,East,Silver,Occasional,2.0,2,3,2.023,7.0,Other
AY-10555,2014-04-06,2014-04-06,4,1,199.99,13,64.51,1345,0,199.99,13.0,32.26,Corporate,West,Bronze,Occasional,1.0,1,2,1.012,4.0,Hibernating
AZ-10750,2015-05-12,2016-02-05,5,2,955.6,17,42.45,675,269,477.8,8.5,4.44,Consumer,East,Gold,Occasional,1.0,2,3,1.023,6.0,Other
BB-10990,2015-11-02,2017-06-01,5,3,453.26,21,5.97,193,577,151.08666666666667,7.0,1.32,Corporate,West,Silver,Regular,3.0,3,2,3.032,8.0,Other
BB-11545,2015-06-05,2017-12-02,10,5,4708.91,41,653.03,9,911,941.7819999999999,8.2,13.87,Corporate,Central,Platinum,Frequent,5.0,5,5,5.055,15.0,Champions
BC-11125,2014-07-06,2017-06-11,10,4,1496.62,25,95.92,183,1071,374.155,6.25,6.41,Home Office,West,Gold,Frequent,3.0,4,4,3.044,11.0,Potential Loyalists
BD-11320,2015-08-10,2017-06-10,6,3,250.33,22,77.58,184,670,83.44333333333334,7.333333333333333,30.99,Consumer,East,Silver,Regular,3.0,3,2,3.032,8.0,Other
BD-11500,2014-02-01,2014-02-01,1,1,468.9,6,206.32,1409,0,468.9,6.0,44.0,Consumer,Central,Silver,Occasional,1.0,1,3,1.013,5.0,Lost
BD-11605,2015-06-11,2016-04-12,8,2,656.63,32,193.49,608,306,328.315,16.0,29.47,Consumer,South,Silver,Occasional,2.0,2,3,2.023,7.0,Other
BD-11620,2016-03-08,2016-10-01,3,2,309.41,10,-14.5,436,207,154.705,5.0,-4.69,Consumer,West,Silver,Occasional,2.0,2,2,2.022,6.0,Hibernating
BD-11635,2014-10-05,2015-12-05,4,2,511.65,15,113.84,737,426,255.825,7.5,22.25,Consumer,East,Silver,Occasional,1.0,2,3,1.023,6.0,Other
BD-11725,2015-07-03,2017-08-03,4,2,541.62,12,185.48,130,762,270.81,6.0,34.25,Consumer,South,Silver,Occasional,3.0,2,3,3.023,8.0,Promising
BD-11770,2016-03-10,2017-02-06,9,5,653.7,19,140.79,308,333,130.74,3.8,21.54,Consumer,Central,Silver,Frequent,2.0,5,3,2.053,10.0,At Risk
BE-11335,2017-09-02,2017-09-02,3,1,3480.96,13,1234.37,100,0,3480.96,13.0,35.46,Home Office,Central,Platinum,Occasional,4.0,1,5,4.015,10.0,New Customers
BE-11410,2016-02-07,2016-02-07,1,1,30.35,2,10.62,673,0,30.35,2.0,34.99,Consumer,East,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
BE-11455,2015-08-02,2016-09-05,9,4,722.13,23,178.58,462,400,180.5325,5.75,24.73,Home Office,Central,Gold,Frequent,2.0,4,3,2.043,9.0,At Risk
BF-10975,2014-08-01,2015-07-06,7,3,226.17,21,55.49,889,339,75.39,7.0,24.53,Corporate,South,Bronze,Regular,1.0,3,2,1.032,6.0,At Risk
BF-11005,2016-05-05,2016-05-05,2,1,252.15,4,22.56,585,0,252.15,4.0,8.95,Home Office,West,Silver,Occasional,2.0,1,2,2.012,5.0,Hibernating
BF-11020,2016-07-07,2017-09-08,17,4,1755.83,64,10.66,94,428,438.9575,16.0,0.61,Corporate,Central,Platinum,Frequent,4.0,4,4,4.044,12.0,Champions
BF-11080,2017-09-12,2017-12-05,5,2,258.28,26,106.97,6,84,129.14,13.0,41.42,Consumer,East,Silver,Occasional,5.0,2,2,5.022,9.0,New Customers
BF-11170,2014-07-12,2017-03-06,4,3,530.64,27,81.97,280,968,176.88,9.0,15.45,Home Office,West,Silver,Regular,3.0,3,3,3.033,9.0,Potential Loyalists
BF-11215,2014-11-09,2016-06-09,2,2,749.46,12,194.71,550,578,374.73,6.0,25.98,Home Office,Central,Gold,Occasional,2.0,2,3,2.023,7.0,Other
BF-11275,2017-07-10,2017-11-03,2,2,403.29,5,38.0,38,116,201.645,2.5,9.42,Corporate,South,Silver,Occasional,4.0,2,2,4.022,8.0,New Customers
BG-11035,2014-11-05,2017-12-02,4,4,230.44,10,58.09,9,1123,57.61,2.5,25.21,Consumer,South,Bronze,Frequent,5.0,4,2,5.042,11.0,Other
BG-11695,2014-05-11,2015-01-05,4,2,126.08,10,38.0,1071,239,63.04,5.0,30.14,Corporate,East,Bronze,Occasional,1.0,2,1,1.021,4.0,Hibernating
BG-11740,2016-09-06,2017-11-03,2,2,497.15,5,37.29,38,423,248.575,2.5,7.5,Consumer,Central,Silver,Occasional,4.0,2,3,4.023,9.0,New Customers
BH-11710,2014-06-09,2017-12-07,17,5,6011.23,72,785.74,4,1277,1202.2459999999999,14.4,13.07,Consumer,West,Platinum,Frequent,5.0,5,5,5.055,15.0,Champions
BK-11260,2014-08-03,2016-11-11,10,3,485.13,38,-126.79,395,831,161.71,12.666666666666666,-26.14,Consumer,East,Silver,Regular,2.0,3,3,2.033,8.0,At Risk
BM-11140,2014-09-08,2016-12-04,15,3,11432.84,57,-1759.86,372,818,3810.9466666666667,19.0,-15.39,Consumer,Central,Platinum,Regular,2.0,3,5,2.035,10.0,At Risk
BM-11575,2016-01-02,2016-01-02,2,1,405.92,5,105.54,709,0,405.92,5.0,26.0,Corporate,East,Silver,Occasional,1.0,1,2,1.012,4.0,Hibernating
BM-11650,2014-07-09,2017-11-09,10,3,3774.97,40,1151.99,32,1219,1258.3233333333333,13.333333333333334,30.52,Corporate,East,Platinum,Regular,5.0,3,5,5.035,13.0,Loyal Customers
BM-11785,2014-06-06,2015-10-03,6,3,628.85,19,59.97,800,484,209.61666666666667,6.333333333333333,9.54,Consumer,East,Silver,Regular,1.0,3,3,1.033,7.0,At Risk
BN-11470,2014-09-12,2017-12-06,4,2,203.1,9,27.56,5,1181,101.55,4.5,13.57,Corporate,South,Bronze,Occasional,5.0,2,2,5.022,9.0,New Customers
BN-11515,2017-09-01,2017-09-01,1,1,114.9,5,39.07,101,0,114.9,5.0,34.0,Consumer,East,Bronze,Occasional,3.0,1,1,3.011,5.0,Promising
BO-11350,2016-01-03,2017-05-03,10,3,2590.76,33,253.0,222,486,863.5866666666667,11.0,9.77,Corporate,East,Platinum,Regular,3.0,3,5,3.035,11.0,Potential Loyalists
BO-11425,2015-09-10,2015-09-10,1,1,6.08,2,2.07,823,0,6.08,2.0,34.05,Consumer,East,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
BP-11050,2014-10-12,2017-10-08,2,2,65.0,3,13.62,64,1092,32.5,1.5,20.95,Corporate,East,Bronze,Occasional,4.0,2,1,4.021,7.0,New Customers
BP-11095,2014-06-07,2014-11-07,4,3,137.33,12,27.23,1130,153,45.77666666666667,4.0,19.83,Corporate,Central,Bronze,Regular,1.0,3,1,1.031,5.0,At Risk
BP-11155,2015-06-04,2017-10-02,4,3,1177.91,12,462.98,70,851,392.6366666666667,4.0,39.31,Consumer,South,Gold,Regular,4.0,3,4,4.034,11.0,Loyal Customers
BP-11185,2016-01-04,2017-12-10,11,4,1090.38,34,59.62,1,706,272.595,8.5,5.47,Corporate,West,Gold,Frequent,5.0,4,4,5.044,13.0,Champions
BP-11290,2014-10-03,2017-01-09,4,3,1184.27,14,-326.14,336,829,394.75666666666666,4.666666666666667,-27.54,Consumer,Central,Gold,Regular,2.0,3,4,2.034,9.0,At Risk
BS-11365,2014-05-04,2014-05-04,2,1,69.86,11,22.93,1317,0,69.86,11.0,32.82,Corporate,West,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
BS-11380,2015-12-03,2017-12-02,9,3,2748.92,45,-100.12,9,730,916.3066666666667,15.0,-3.64,Corporate,West,Platinum,Regular,5.0,3,5,5.035,13.0,Loyal Customers
BS-11590,2014-12-05,2015-09-06,4,2,1627.36,15,277.78,827,275,813.68,7.5,17.07,Corporate,West,Platinum,Occasional,1.0,2,4,1.024,7.0,Other
BS-11755,2014-08-03,2017-04-10,5,3,573.79,12,-114.76,245,981,191.26333333333332,4.0,-20.0,Consumer,West,Silver,Regular,3.0,3,3,3.033,9.0,Potential Loyalists
BS-11800,2017-04-09,2017-04-09,6,1,760.8,17,116.95,246,0,760.8,17.0,15.37,Home Office,East,Gold,Occasional,3.0,1,3,3.013,7.0,Promising
BT-11305,2015-09-06,2015-12-01,3,2,211.82,10,82.5,741,86,105.91,5.0,38.95,Home Office,West,Bronze,Occasional,1.0,2,2,1.022,5.0,Hibernating
BT-11395,2017-03-03,2017-03-03,1,1,399.67,7,-14.99,283,0,399.67,7.0,-3.75,Corporate,West,Silver,Occasional,3.0,1,2,3.012,6.0,Promising
BT-11440,2014-06-04,2014-06-04,4,1,440.05,10,-12.37,1286,0,440.05,10.0,-2.81,Consumer,East,Silver,Occasional,1.0,1,2,1.012,4.0,Hibernating
BT-11485,2016-03-11,2016-03-11,1,1,30.34,4,9.48,640,0,30.34,4.0,31.25,Home Office,East,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
BT-11680,2015-07-09,2017-12-10,15,4,2048.33,65,588.44,1,885,512.0825,16.25,28.73,Consumer,South,Platinum,Frequent,5.0,4,5,5.045,14.0,Champions
BW-11065,2015-08-11,2017-06-01,2,2,370.9,6,-65.01,193,660,185.45,3.0,-17.53,Consumer,South,Silver,Occasional,3.0,2,2,3.022,7.0,Promising
BW-11110,2016-10-08,2017-01-07,3,3,3174.51,19,677.2,338,91,1058.17,6.333333333333333,21.33,Corporate,Central,Platinum,Regular,2.0,3,5,2.035,10.0,At Risk
BW-11200,2014-08-12,2017-06-10,4,3,920.35,20,67.89,184,1033,306.78333333333336,6.666666666666667,7.38,Consumer,West,Gold,Regular,3.0,3,3,3.033,9.0,Potential Loyalists
CA-11965,2015-04-05,2015-04-05,1,1,892.22,3,89.22,981,0,892.22,3.0,10.0,Corporate,West,Gold,Occasional,1.0,1,3,1.013,5.0,Lost
CA-12055,2015-09-05,2016-08-08,6,2,1106.04,30,107.05,490,338,553.02,15.0,9.68,Home Office,West,Gold,Occasional,2.0,2,4,2.024,8.0,Other
CA-12265,2016-02-07,2017-11-04,8,4,912.04,34,125.88,37,636,228.01,8.5,13.8,Consumer,South,Gold,Frequent,4.0,4,3,4.043,11.0,Loyal Customers
CA-12310,2016-01-03,2017-12-09,5,2,471.42,14,16.25,2,706,235.71,7.0,3.45,Corporate,East,Silver,Occasional,5.0,2,3,5.023,10.0,New Customers
CA-12775,2015-12-11,2017-09-01,9,4,982.56,38,297.14,101,630,245.64,9.5,30.24,Consumer,South,Gold,Frequent,3.0,4,4,3.044,11.0,Potential Loyalists
CB-12025,2017-02-05,2017-09-11,8,4,807.66,34,-263.44,91,218,201.915,8.5,-32.62,Consumer,East,Gold,Frequent,4.0,4,3,4.043,11.0,Loyal Customers
CB-12415,2015-11-05,2017-12-04,8,4,297.46,26,-10.82,7,760,74.365,6.5,-3.64,Consumer,Central,Silver,Frequent,5.0,4,2,5.042,11.0,Other
CB-12535,2015-01-02,2017-03-05,11,5,1107.34,37,440.81,281,793,221.468,7.4,39.81,Corporate,East,Gold,Frequent,3.0,5,4,3.054,12.0,Potential Loyalists
CC-12100,2016-07-07,2016-07-07,4,1,85.21,13,-22.34,522,0,85.21,13.0,-26.22,Home Office,East,Bronze,Occasional,2.0,1,1,2.011,4.0,Hibernating
CC-12145,2015-09-07,2016-08-08,3,3,109.6,8,4.26,490,336,36.53333333333333,2.6666666666666665,3.89,Consumer,West,Bronze,Regular,2.0,3,1,2.031,6.0,At Risk
CC-12220,2014-09-09,2017-12-10,13,8,2528.23,42,182.83,1,1188,316.02875,5.25,7.23,Consumer,Central,Platinum,Frequent,5.0,5,5,5.055,15.0,Champions
CC-12370,2016-07-07,2017-11-06,4,2,3138.12,12,963.92,35,487,1569.06,6.0,30.72,Consumer,West,Platinum,Occasional,5.0,2,5,5.025,12.0,New Customers
CC-12430,2015-09-06,2017-11-06,8,4,820.18,27,188.04,35,792,205.045,6.75,22.93,Home Office,West,Gold,Frequent,5.0,4,3,5.043,12.0,Loyal Customers
CC-12475,2016-05-02,2017-09-11,9,6,1390.41,28,64.11,91,497,231.735,4.666666666666667,4.61,Consumer,East,Gold,Frequent,4.0,5,4,4.054,13.0,Champions
CC-12550,2017-12-01,2017-12-03,3,2,65.86,11,29.07,8,2,32.93,5.5,44.14,Consumer,West,Bronze,Occasional,5.0,2,1,5.021,8.0,New Customers
CC-12610,2015-09-07,2016-10-10,4,2,368.39,9,-167.95,427,399,184.195,4.5,-45.59,Corporate,South,Silver,Occasional,2.0,2,2,2.022,6.0,Hibernating
CC-12670,2015-09-12,2017-12-01,5,3,416.27,16,66.03,10,811,138.75666666666666,5.333333333333333,15.86,Consumer,East,Silver,Regular,5.0,3,2,5.032,10.0,Other
CC-12685,2015-01-09,2015-01-09,4,1,364.07,13,131.08,1067,0,364.07,13.0,36.0,Consumer,South,Silver,Occasional,1.0,1,2,1.012,4.0,Hibernating
CD-11980,2017-11-06,2017-11-06,1,1,318.96,9,149.91,35,0,318.96,9.0,47.0,Consumer,East,Silver,Occasional,5.0,1,2,5.012,8.0,New Customers
CD-12280,2017-11-05,2017-11-05,8,1,796.04,22,118.91,36,0,796.04,22.0,14.94,Consumer,East,Gold,Occasional,4.0,1,3,4.013,8.0,New Customers
CD-12790,2014-02-02,2014-02-02,1,1,12.35,5,5.8,1408,0,12.35,5.0,46.96,Home Office,West,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
CG-12040,2015-06-01,2017-11-11,3,3,97.56,8,22.78,30,894,32.52,2.6666666666666665,23.35,Home Office,South,Bronze,Regular,5.0,3,1,5.031,9.0,Other
CG-12520,2016-11-08,2016-11-08,2,1,993.9,5,261.5,398,0,993.9,5.0,26.31,Consumer,South,Gold,Occasional,2.0,1,4,2.014,7.0,Lost
CH-12070,2016-02-08,2016-02-08,1,1,1127.98,3,126.9,672,0,1127.98,3.0,11.25,Home Office,South,Gold,Occasional,1.0,1,4,1.014,6.0,Lost
CJ-12010,2016-03-10,2017-05-01,12,4,9166.28,52,921.52,224,417,2291.57,13.0,10.05,Consumer,East,Platinum,Frequent,3.0,4,5,3.045,12.0,Potential Loyalists
CK-12205,2014-03-11,2017-08-07,9,5,487.86,35,28.61,126,1245,97.572,7.0,5.86,Consumer,East,Silver,Frequent,3.0,5,3,3.053,11.0,Potential Loyalists
CK-12325,2014-06-02,2017-09-01,6,3,356.55,24,103.47,101,1187,118.85000000000001,8.0,29.02,Home Office,West,Silver,Regular,3.0,3,2,3.032,8.0,Other
CK-12595,2015-07-11,2016-06-06,15,4,1409.64,64,265.29,553,331,352.41,16.0,18.82,Consumer,East,Gold,Frequent,2.0,4,4,2.044,10.0,At Risk Champions
CK-12760,2014-02-07,2017-10-09,6,5,932.82,31,-390.82,63,1340,186.56400000000002,6.2,-41.9,Corporate,East,Gold,Frequent,4.0,5,3,4.053,12.0,Loyal Customers
CL-11890,2016-12-01,2017-06-10,2,2,56.77,8,19.36,184,191,28.385,4.0,34.1,Consumer,East,Bronze,Occasional,3.0,2,1,3.021,6.0,Promising
CL-12565,2014-03-04,2016-11-03,13,6,3232.85,47,340.15,403,975,538.8083333333333,7.833333333333333,10.52,Consumer,Central,Platinum,Frequent,2.0,5,5,2.055,12.0,At Risk Champions
CM-11815,2017-03-10,2017-03-10,1,1,111.96,4,21.27,276,0,111.96,4.0,19.0,Corporate,West,Bronze,Occasional,3.0,1,1,3.011,5.0,Promising
CM-12115,2017-10-02,2017-10-02,2,1,386.62,13,38.24,70,0,386.62,13.0,9.89,Consumer,West,Silver,Occasional,4.0,1,2,4.012,7.0,New Customers
CM-12160,2017-12-04,2017-12-04,1,1,5.35,3,-4.46,7,0,5.35,3.0,-83.36,Consumer,East,Bronze,Occasional,5.0,1,1,5.011,7.0,New Customers
CM-12190,2015-11-09,2017-08-03,2,2,194.72,5,-32.56,130,633,97.36,2.5,-16.72,Consumer,East,Bronze,Occasional,3.0,2,2,3.022,7.0,Promising
CM-12235,2016-05-01,2016-12-10,6,3,2238.96,21,349.74,366,223,746.32,7.0,15.62,Consumer,Central,Platinum,Regular,2.0,3,5,2.035,10.0,At Risk
CM-12385,2017-01-03,2017-01-03,2,1,2031.39,11,685.62,342,0,2031.39,11.0,33.75,Consumer,West,Platinum,Occasional,2.0,1,5,2.015,8.0,Lost
CM-12445,2014-06-09,2014-06-09,2,1,30.46,4,10.77,1281,0,30.46,4.0,35.36,Consumer,West,Bronze,Occasional,1.0,1,1,1.011,3.0,Hibernating
CM-12655,2015-11-03,2017-12-03,6,4,3595.61,29,1016.69,8,761,898.9025,7.25,28.28,Home Office,West,Platinum,Frequent,5.0,4,5,5.045,14.0,Champions
CM-12715,2014-03-07,2015-03-01,10,3,3915.92,45,173.02,1016,359,1305.3066666666666,15.0,4.42,Corporate,Central,Platinum,Regular,1.0,3,5,1.035,9.0,At Risk
CP-12085,2014-12-04,2017-10-09,3,3,414.02,9,160.88,63,1040,138.00666666666666,3.0,38.86,Corporate,East,Silver,Regular,4.0,3,2,4.032,9.0,Other
CP-12340,2015-11-07,2016-06-03,3,2,1432.72,16,-1046.23,556,209,716.36,8.0,-73.02,Corporate,South,Gold,Occasional,2.0,2,4,2.024,8.0,Other
CR-12580,2017-11-03,2017-11-03,2,1,1872.93,17,108.8,38,0,1872.93,17.0,5.81,Home Office,West,Platinum,Occasional,4.0,1,5,4.015,10.0,New Customers
CR-12625,2014-06-01,2014-06-01,2,1,334.68,9,104.79,1289,0,334.68,9.0,31.31,Home Office,East,Silver,Occasional,1.0,1,2,1.012,4.0,Hibernating
CR-12730,2016-06-12,2016-06-12,1,1,23.12,5,8.38,547,0,23.12,5.0,36.25,Consumer,Central,Bronze,Occasional,2.0,1,1,2.011,4.0,Hibernating
